"Species","Prey","FO_CT","FO_LS","Desc_diff","Desc_fisher_p","Model_diff","Model_P","Agreement"
"Pinfish","Amphipod",0.5,0.31,-0.2,0,0.13,0.8,"Descriptive only"
"Pinfish","Crustacean",0.3,0.31,0.01,0.92,-0.06,0.36,"Both detect no difference"
"Pinfish","Fish",0.04,0.02,-0.02,0.26,-0.02,0.28,"Both detect no difference"
"Pinfish","Isopod",0,0.03,0.03,0.03,0.03,0.98,"Both detect difference"
"Pinfish","Polychaete",0.14,0.16,0.02,0.52,0.14,0.8,"Both detect no difference"
"Pinfish","SAV",0.04,0.21,0.17,0,0.25,0.96,"Both detect difference"
"Pinfish","Tanaidacea",0.01,0.02,0.01,0.45,0.04,0.9,"Model only"
"Croaker","Amphipod",0.27,0.31,0.04,0.59,0.04,0.61,"Both detect no difference"
"Croaker","Crustacean",0.54,0.48,-0.06,0.51,0.07,0.65,"Both detect no difference"
"Croaker","Fish",0.35,0.12,-0.23,0,-0.11,0.24,"Descriptive only"
"Croaker","Isopod",0,0.04,0.04,0.08,0.01,0.89,"Both detect no difference"
"Croaker","Polychaete",0.07,0.3,0.23,0,0.3,0.96,"Both detect difference"
"Croaker","Tanaidacea",0.02,0,-0.02,0.5,-0.01,0.24,"Both detect no difference"
"Silver perch","Amphipod",0.32,0.33,0.02,0.89,0.01,0.52,"Both detect no difference"
"Silver perch","Crustacean",0.61,0.53,-0.08,0.24,-0.02,0.41,"Both detect no difference"
"Silver perch","Fish",0.07,0.09,0.02,0.64,0.02,0.6,"Both detect no difference"
"Silver perch","Isopod",0.03,0.04,0.01,1,0.01,0.66,"Both detect no difference"
"Silver perch","Polychaete",0,0.13,0.13,0,0.18,0.99,"Both detect difference"
"Silver perch","Tanaidacea",0,0.01,0.01,1,0,0.68,"Both detect no difference"
